document,label
할지말지 고민이네요.,0
검색해보니까 행동발달장애를 가져올수 있다는데...,0
이게맞는방법인가요?,0
아~ 정말 어떻게 해야되죠..1,0
 혼자 웃다가 울다가 조울증인가싶기두해여..,0
 월욜날연락주신댔는데지금불안해서미치겠어요ㅜㅜ,0
왠지 오늘은 15분늦게올꺼같은디.,0
사진 많이크나요..?,0
이거 안좋은거 아니예요?,0
나오늘 전달받은거없는데 퇴근시간20분넘고불안하다..,0
 근육이 붙진 않겠죠?ㅠ,0
방법을 잘 모르겠네요...,0
 너무많이하는거죠?,0
뭘해야할지 모르겠네요,0
어깨때문인가,0
걱정되서 잠이안와요!!,0
 예정일이 보름이나 지나도 생리를 안해요,0
시험5이 남았는데 과목 한개도 못 끝냈네,0
앞으로 이 남자가 제 편이 되어줄지도 의문이네요,0
저떨어진건가요..?,0
저 이제 어떡하죠,0
어휴...어떻게 처리하죠?0,0
지금 20대 초반인데 혹시 재발확률 있는지...,0
"미래에 30대,40대는 어떻게 해야햐나 싶기도 하고 그렇네요.",0
 어떻게 되는지 걱정되서 그러는데 답좀 부탁드리겠습니다.,0
투잡을 해야하나...,0
믿을만한건지요 ?,0
애기는 잘있나?,0
 그냥 화가나서 연락을 안하는걸까요...?,0
보증금 300도 있을까말까입니다.,0
여자친구가 오빠가 2명다 오신다는데긴장되네요,0
어른들은 변을 보시더니 아이가 분유를 소화를 못시키는거라구 하시네여...,0
"지금 핫팩을 좀 보내주고 싶은데, 괜히 눈치 보이지 않을까요?",0
 이거 성격장애아닌가요? ?,0
 종아리 두꺼워지려나ㅠ,0
어떻게할방법이없을까요?,0
 막 매출이 막 떨어질 것 같음.,0
출산 경험 있으신분들 좀 알려주세요 ㅠ,0
 정적 흐를땐 어떻게 하시나요,0
내가 잘 말한걸까?,0
안올것같기도하고...주위에서 세상에 남자는많다라고하는데..제몸하나 쓰담어주는남자는 다신 안나타날것같은?불안하고 하네요~,0
제가 알바 자체가 처음이라..,0
저녁 늦게 천둥이 치는데 방이 흔들리는 것을 느꼈어요,0
 많이 걱정돼요ㅠㅠㅠㅠ,0
애들 진짜 못키우는데...,0
모기매트는 안전한가요? 옥시때문에 의심이 늘어서,0
노트7 쓰고 있는 사람들은 우짜노...나도 쓰는데 불안불안..,0
점점 추워진다는게 걱정이네,0
중국에서 한반도로 독가스를 자꾸 보내고 있는데 이러다가 멸망하는 것은 아닐까? 싶다,0
이제 앞으로 더 이러한 현상들이 심해질걸요?,0
이슬람계는 절대 절대 받지 말아야..,0
어떻게 키우면 집고양이가 길고양이랑 새끼를낳아?,0
골키퍼가 젤 불안!!,0
이러다가 다른나라에서 명예 회복 해달라고 국제 소송 거는거 아닌가? ..,0
저렇게 맨손으로 만져도 되나?,0
사진.. 사냥개도 있네.. 저러다 늑대개로 돌변하면 우짤라꼬..,0
허걱 배달되는 오븐스파게티 거의다 저 용기던데...,0
특히 이분야는 선점효과가 너무큼 실패할가능성이 높다,0
에프엑스도 요즘불안한데....,0
이성우 때문에 지겠다,0
아 4차원 롤러코스트 진짜 무섭겠다,0
대신에 기형아의 가능성이 엄청 높아진다. .,0
우리의미래가걱정된다,0
진짜떨린다,0
순순히 바꿔준다니 몬가 찝찝하기도하네,0
미국 시민들 불안해서 어떻게 살아...ㄷㄷ,0
여긴 창원마산. 강풍이 심해서 어떻게될지 걱정이다..,0
필리핀 가려면 죽을 각오해야 하네요,0
눈알 파갈라 ㅎㄷㄷㄷㄷㄷ,0
선발진은 여전히 불안불안하네...,0
"저 스모그가 우리나라로 넘어오는게 문제인거지,,ㅠ,,",0
폭발물 소지금지 해야지!,0
갤노트 7 = 폭탄 ???,0
고속충전하면 너무 뜨거워 뭔일 날줄알았다,0
노트7가지고 타면 테러범으로 몰리는건가???,0
문제 있는거 아니냐??,0
 시리아랑 비기는거보고 불안함 ㅠㅠㅠㅠ,0
생초보라 걱정입니다.,0
 준비 시간이 줄어들어 졸작이 되진 않을까요?,0
갑자기 불안하네요,0
 진심 불날까봐 걱정되서 그런다.,0
용인 경전철 꼴나는거 아닌지요,0
 만약에 하나라도 지구가 시간변화에 따라 기후가 변하는 거면 어떡할것인가?,0
거리에 다니면서 할 확률 100%이상..위험하다..,0
삼성의 앞날이 걱정이다.,0
또한번 imf사태가 올것같아,0
 시리아 수비도 못뚫는데 월드컵에서 잘할수있을까...,0
 태풍오면 울산처럼된다.,0
기계가 사람을 지배하는날이 얼마 안남았다.,0
외계인이 있는데 괜찮을까,0
 우리와이프가 저리 살아보구 싶다 할까봐요,0
 누가사는데 만에 하나 구글이 소프트웨어 지원 끊으면 ???,0
저차 위험하다...,0
저 도로 범죄 일어나기 좋을듯.,0
혹시 설날 서빙 할때 손님 많이 올까염???,0
 나이만 먹어가고 이러다 결혼 못하고 죽는거 아닌지 ㅋㅋ,0
근데 여자친구가 너무걱정되네요..,0
제가 못해도 중상위권을 맴도는데성적이 자꾸 떨어져서..,0
그날에 해도 되나요?,0
유지할수있을까요,0
한번 먹일거만 조금남아있는데 어떡하죠,0
 남자친구는 공기업다니고 28살이고 저는 항상 불안해요,0
엄마아빠가 이해해주실까요?,0
저 일할곳이 세븐 본점인데 좀 큰데 많이 어려울까요ㅠㅠ?,0
수강 신청 하는거 많이 힘들까요?,0
 이해를 해줘야되는데 너무 불안해요..,0
 평소 관리만 잘 하면 나아질수 있는건지..,0
좀 텃세나 끼리끼리노는거있나요?,0
 제가 언제까지 이일을 하면될까요...,0
기다리고 노력하면 저만 상처 받겠죠??,0
내꾸나휴가 다놀고 전화가안와요..,0
V3엔진이라 불안해서리..,0
 감기오래가면 안좋은경우인가요???,0
최저임금도 안주면 어케해야되죠?,0
 이거 더 안좋아지는 증상인가요,0
 뭐 대처법은 없을까요?부탁이에요,0
내사진으로 프사를 해놨는데바람같은거 안피겠죠?? ㅠㅠ,0
남친이 중간에 뺐을까봐 좀 걱정이 되네요........,0
막 차별하고 그러나요?,0
 아직 2주도 안됫는데 벌써부터 증상들이 나타날수 있는건가요?,0
또 어떻게 다시 시작해야할지막막하기만 합니다ㅠ,0
열나는건 언제까지 일까요?,0
내일 또 연락오면 어떻게 하죠??,0
기록같은게 남나?,0
다시 돈 뺄수도 없고 이 놈 안오면 어쩌지?,0
빨간점이난거 이건 여드름흉터 아니죠?!,0
 정말 불안하고 떨려서 아무것도 못하겠어요,0
근데 정보가 많진 않으니 선뜻 지원하기가 쉽지않네요,0
남자친구가 가끔 동영상찍거든요..,0
제가 하기엔 너무 힘들까요?,0
4년제 대학 졸업장만으로 취직이 될까요?,0
너무 부담이 되네요 ;,0
입사해도 괜찮을까요?,0
신체검사 할때 혈압약 먹어도 이상없는걸까요?,0
군대가면 남자들은 맘 변한다고 그러는데 진짜인가요..?,0
이런문제 어디에 물어봐야되나요?,0
피부과를 가봐야 할까요?,0
아가가 자꾸 크면 자연분만 힘들어지나요?,0
이거 불법 인가요??,0
남자들 결혼하면 아내 몰래 바람도 피우고 그러나요,0
벗어날 방법이 있을런지요,0
곧 헤어질거라는 생각에 연애가 늘 조마조마해요,0
크게 다친건 아니죠...??,0
 다시 일시작 하면 잘할수 있을까요?,0
"어제가 배란일, 가임기덴, 무서워죽겟네요 ..토요일 새벽에 관계는 가졋습니다. 안심해도될까요 ?",0
하루하루 불안함을 안고사네요.,0
등에 털이 등 중간부터 나기 시작해서 뒷통수까지 이어져있는데 이거는 어찌 해야되요..?,0
 남자친구가 떠날까봐요,0
오늘 손님들 왜케없지 ..............?,0
중국한테도 지면 진짜 개망신이야...,0
정말 인간이라구 다 같은 인간은 아닌듯,0
영상 복구하면 누군가는 그걸 본다는건데 내가 전여친이면 그상황이 더 끔찍할듯.,0
기상캐스터들 옷차림이 다 홀복 수준..,0
레알 남자랑도 눈을 대고는 오래동안 못있겠음 ..,0
나 우리집 주소 아직도 모름..,0
 인사도 못하겠음.,0
그런거 시키지 마세요..,0
나 같으면 노트7은 못쓴다,0
성기 크기가 너무 작아 고민입니다..,0
저 승마살이 장난 아니에요;;,0
쟤네들 웃기네. 맘에 드는 결과를 얻을때까지 계속 투표할 기세네.,0
450억....450억........뭐?? 450억??????,0
식칼도 없는데 왠 진검승부,0
교도소에서 골목 대장이 되버렸네,0
우리애아빠는그스위치어디다둿을까요??,0
난해하다......,0
진짜..어이없네,0
어이가없네..????,0
아들은 비싼연봉받고 뭐한거야?,0
차태현은 다알고 있었던것 같은데 진심은 무슨,0
이건또 뭔 개소리??,0
그럼 저 기계는 누가 만들어 줌?,0
어깨 툭 치는데 사과쪼개지는 소리가 나는거지?,0
정용기 의원이 실수로 반대방향으로들어갔군...,0
흥민이는 원톱가면......제발......이것만은...,0
배터리 바꾼게 터지는거면원인이뭐지ㅡㅡ,0
"물론 시즌말에 가서 떨어질꺼라 예상은 했다만,스크는 나름대로 잘 나가다가 왜 성적이 곤두박질 칠겨?",0
저런 중국과 친하게 지내겠다는 더불어민주당 ㅋㅋㅋㅋㅋㅋ,0
헉 오마베......,0
본인들은 정말 충격적이겠다..ㅠㅜ,0
마티즈 광고인줄알았네;;,0
쭝궈이 대단하다 예전의 짱꼴라가 아녀,0
맨유동료중에 가장 저평가됐다고 생각하는 선수는 누구인가?루니 : 박지성이다.,0
10회 정도 해야 왕조지..... 세네번으로 무슨왕조냐,0
이노인네는 참,0
뭔소리? 기아 대권도전하려면 아직 깜깜 멀었다 ㅡㅡ,0
정말떳떳하다면 왜이리 OOO떨까 지발저린모습이네,0
받아들인 삼성은 뭐지?,0
여성부 예산 보다 적넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
대놓고싸우자는건가 ㅡㅡ;;;;,0
0.056은 약한거 아니냐 지금 이용찬 정찬헌 정성훈 손영민 걸린거보면 싸그리다 취소수준인데,0
공중파에서 시청률 잘나오려면 시도때도 없이직업 불문하고 연애질하면 됨,0
한 골도 못 넣은게 오로지 선수 개개인의 자질 문제인데 또 감독탓 오지네 ㅎㅎ,0
클라리넷은 알아도 클라라는 첨 들어봄..뭐하는거에요?,0
김종차관은 이름값 너무 제대로 해버렸네,0
순실이가 뒤봐줬는데 우리나라에서 마틴이가 못먹으면 그건 바보지,0
서울 대학병원전문의가 ...참 무섭군,0
참나.. 야메라니... 기가 막힌다..,0
빛은 항상 켜두어야 하는건가,0
역대급 거품 실력에비해 원클럽맨하나로 과대포장된 얘보다 스콜스 램파드가 훨씬 커리어가압도적인데,0
담배보다 안해롭고 중독성도 없단다,0
우리나라로 치면 허각이 당한것과 같은건가,0
1쿼터 8:4 프로들 농구 점수 맞냐?,0
아직도 장관직에 있나?,0
내가 언제 똥을 주워먹었나 ㅡㅡ,0
장애인 둘이 대화가 이어나가지나??,0
컨택스윙해도 김태균보단 훨씬 넘기는데;;,0
오성무를 죽이는 건 말도 안되는 억지.,0
한국의 미네소타 트윈스???,0
좌좀 손서키야 그게 어때서??,0
뭐여..박근혜 구출작전이냐?,0
삼적화가 기대 되는건 나뿐이냐?,0
작품가가8만유론데 복원금액이 수백만 유로? 배보다 배꼽이 더크네,0
기사 내용이 저거밖에 없어? ㅋㅋㅋㅋㅋ,0
누가 업뎃도 안하는데 누가 살가요?,0
언제 통계냈냐,0
깡패가 따로없네ㅋ,0
경기 안좋은데최고수치면 뭐지,0
비행기 탑승은?,0
나만 처음 듣는 상 이름이네. . .,0
보아 연기했었나????,0
"진에어는 정시출발율도 높고, 대표공항들 지연율도 높은데 어떻게 저럴수가 있지?",0
기자님 멕시코어가 아니라 스페인어라고 하는게 맞지 않나요?,0
보다보다 이런 꼴은 50평생 처음이다,0
일반인들 신검 하면 어디아프다고 말하면 서류 때오라고 하면서 찍소리도 안하고 1급준다 ㅋㅋㅋㅋ,0
전술 문제야? 아니면 선수들 문제야?,0
얘는 또부상당한겨 ㅋ 부상안당한날이없구만,0
표정관리좀 해라.축제 분위기네.,0
차우찬 황재균은 쟤들 급은 아닌데...,0
중국산만 터진거처럼 얘기하네,0
솔직히운전이어렵냐?ㅜㅡㅜ,0
아니 전라도 욕하는게 왜 지역감정?,0
이렇게 무턱대고 시위하면서. .,0
별 세개 기업도 부자인데 왜 로켓 못쏴?,0
산천어가 살지도 않는 화천에서 산천어 축제라니...,0
2007년에도 음란소설이라고 벌금 받은건가?,0
마크제이콥스 본 땄어.,0
이게 진정한 양성평등이 맞는건가?,0
"진짜 뜬금포, ..",0
황당한 기획과..,0
완전 전데...?,0
올겨울 들어 가장 추운 아침을 맞고 있습니다.?,0
 왜 저 얘기를 우리 빼놓고 하지?,0
경영공백 우려한 불구속이라고??,0
 용도는 아닌데..,0
 무어라 할 말이 없네....,0
 국회의원이라고?,0
불출석했으면서 자백강요?,0
 비교할사람이랑 비교를 해야지;;;;,0
"음.. 마광수 작품은 음란패설이 담긴 책이고, 참을 수 없는 존재의 가벼움은 명작이다?",0
증거는..??????????,0
일본 입장에서도 어이없을만하지 ㅋㅋㅋ,0
스마트폰 화면 왼쪽 위에 있던 올레 이거 왜 KT로 바뀜?,0
정부 관계자는 마치 3자인것처럼 얘기하네,0
연예대상이 무한도전 공로상인것처럼 말하네,0
 그러면 즐라탄은?,0
이렇게 되면... 누군가..... sbs에..... 죽을 때까지 못 나오는 거 아님? ㅋㅋ,0
혹은 생각처럼안될수 있는거 아닌가~,0
진짜 허탈하네요,0
 나만 그런가????,0
엥? 여기 네이버 뉴스맞냐?,0
그럼 무슨 문제 될게 있나?,0
 아직 애기라 그런지목소리가 넘 앵앵거려서 수지 목소리가 원래 저랬나 했음,0
좋은 거야 나쁜거야 ㅋ,0
왜색논란?,0
정부랑 여가부가 게임 다 죽인거 아닌가?,0
여러카페에 너무많이올라가서 삭제도안돼요ㅠㅠ,0
오늘 당장 저희 부모님께 말씀드리러 가네요....,0
그럼 안되는데...,0
다 괜찮은거 같은데?4대보험이 없다고 하더라구요;,0
 왜이런거죠??,0
마법의기간중에 이런적은 처음이네요....,0
그렇다고 매달린적도 없는데...,0
 왜? 갑자기??? 궁금해요,0
도통 여성  스러운게 뭘까,0
 바로 질초음파를 하더라고여...,0
어떻게 받아들여야 하나요,0
ㄷㄷ?ㅠ 일요일아침만 맨날이럼,0
네일설전날에중국에서해는데지금까지안지워짐,0
남들은 다 아는 애니라서 그 애니에 대해 농담도하고그러는데.,0
월급은어덯게줄까요 ..,0
어떻게 해야 토요일 오전09시에 끝날수있는건가요?,0
우리나라의 현실이 이렇게 심할줄은 몰랐음..,0
근데 문제가 저희 휴가증 체계가 바꿔어가지고..,0
아침에 전화가 왔는데..,0
너한테 실컷 욕했는데..,0
저는 받지 않았는데요..,0
어쩌다가 베스트 되었네요........식구들한테는 말도못하고..........,0
 지난 주말에 첫키스했는데...빠른건가요?,0
다른 회사도 이런가요?,0
아 슈발근데 학교 가야 하나용..?0,0
어느게 정액제고 그렇다면 나머진 하난 뭐죠?,0
전여친이 저와 싸우고 상메에 이렇게써놨는데 무슨뜻인가요..,0
 되는건가요?,0
이렇게 하는게 정상인가요?,0
제가이상한거에요?,0
웃자고 한애기에 죽자고 달라드는 상황 아닌가요?ㅎㅎ,0
내가 김제동이에요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
세월이 사람을 아이돌빠로 만드네요...ㅠ0,0
ㅎㅎㅎㅎ 나 근데 잠와...ㅎ,0
어떤식으로해야하지..,0
 이런말은없는데;;(알바천국 나온거보니 알바개념도 될듯하네요,0
사진을 도용당햇어요,0
어떻게 해야할까요.,0
저는 초등학교 6학년이고 제가 5학년이 제가무섭다는 소문도 듣고 날라리라는 이야기를 오늘들었어요...,0
이럴땐 또 어떡해야 되는지;,0
어떠캄 자주 올것만 같음...,0
그런 사람들의 심리는 도대체 뭔가요?,0
이게 무슨 말이죠;;?,0
연애중은 내렸는데 친구는 안끊네여..,0
 사장님 불러야하나?,0
혼자막 꽃단장해서 간다거나;,0
어떻게 마무리하쥐.,0
 ㅅㅄㅂ? 이거 어케해야함..?,0
사람들이 군인들은 제대하고 나면 여자친구도 차버린다고 하던데..,0
 체육바지같은게 없는데 어떡해야할까요??,0
가운데서 애매해서 어찌해야할지 모르겠네요..,0
일하는데 담배 안핀다고 하니까..,0
 남친이 오늘따라 성욕구이넘치나봐요.,0
딸은 유치원에서 선생님께 욕했다네요,0
아 어떡하죠,0
 이런 생각이나 할텐데자기를 음란하게 생각할텐데누가 자기 다리 쳐다보는건 싫어하면서 짧은 치마는 왜 입는건지?0,0
 감정이 앞서서 빨리 잊고싶다는 생각듬...이런거는 뭐죠..?,0
제목그대로 썸녀라고 생각한 친구에게 어느날 남자친구가 생기면 어떨꺼같아요??,0
  뭘로 고를지 요즘넘고민이예요ㅎ,0
이거 어케해야함?,0
 요번주만해도 여자두명이랑연락햇는데 친구추천에 두명다떠서 당황;,0
 이랬는데 언니가  안녕히 가세요,0
안녕하세요~방제이탈인지 몰겠네요^^;;,0
지금 이순간 너무 심심한게 고민이네요..;;,0
 근데 그여자는 애가둘이 있네요,0
 언니들은 그런 상황이 왔을 때  상대방한테 무슨 생각이 들어요??,0
논산만 그러나 ..,0
 대체왜 거기서 그러고 가는거에요?,0
항상 면회만가봤지 외박나와서 데이트하는건 처음이라서 어디를 가얄지 모르겠어요ㅠㅠ,0
그덕에 좋아하는 분까지도 싫어하는 줄오해받은 상황....,0
아웅 ㅠ둘중에 뭘로하져..?,0
"근데,막상하니까,또 잘안되더라구요..",0
왜이러는거죠,0
제가 번호물어봤는데 얘기하다가 여자분 아버지분이신지 오셔서 가자고 하더라구요..,0
아니야정말 그런의미일수도있어  또기대하게되고..,0
다른 손님들도 보고 있는데?,0
어리지도 많지도 않은 애매한 나이인것같아요,0
 누가봐도 그 동생이 좋아하는 건데 자기는 아니라고 하더라고요.,0
이번방학에 토스 해보려고 하는데요인강은 제가 잘 할수있을지 모르겠어요;;,0
흠 뭐라고 해야 할까여?0,0
 라고 말씀드리면 될까요..??,0
만약 제가 먼저 편지를 보내면 걔는 어떻게 생각할까요?,0
관장할때 아프다는 분들이 있던데 어떡해 하길래 아파요??,0
 근데 내가 이거 나오냐고 카메라를 들어갈라다가 실수로 게임을 눌림,0
일주일에 한번씩 전화 오다가 이틀에 한번씩 올때도 있구여..,0
"다른게 아니라, 제가 이상한건지 해서요.",0
물어줘야하나영 엉엉0,0
아직 회사에 아가 있다고 말도 못했는데 ㅜ잉 ㅠㅠ,0
프로필사진에는 아랍인처럼 안생겼던데..,0
 주차장 상태상 시야확보가 되질 않아서..,0
 여태까지 많은 회사를 다녔어도 정상인인과장님을 찾기란 어려웠음;;;;,0
참 혼란스럽달까요?,0
그런데집에서는 자꾸 월급이 얼만지 얼마나 모았는지를물어보라는데.......,0
카톡 차단 풀린줄 알고 전화했는데 여전히 차단이네요,0
자기가 일 못하고 있는것도 제 탓이라고 하고 가버리네요,0
오늘 대뜸 전화 오더니만 니 통장이 잘못됬다,0
웨이트 열심히 하는여자 이상한가요?????????? ???,0
여태까지의  당신의 선택이  당신을 다시 태어난 것 처럼 힘솟게 했나요...,0
 이거 외엔 기억이 안나네요.0,0
자긴 결혼을 못할거라며 부모님 도움 받지않을거라던 사람이..무슨 사정이 있는지는 모르겠지만...,0
아니근데..신입인거 알고 연락을줬을텐데..,0
운동하는데 단백질섭취때문에 먹어보려 하는데별루인가요?,0
처음보는 닉밖에 없음ㅇㅇ어쩌죠??0,0
11월에 수료식인데 엄마 생신이랑 겹쳤어요ㅠ,0
군대 가기 전까지는 진짜 아무일 없이 친구사이였다가도군대가고나면 너무 외로워서그 친구가 여자로 보이고좋게?,0
모임에서 번호 따가놓고전화도 많이하고 카톡도 많이하고그러더니다시 만나고 연락 없는건 뭘까,0
다른분들은 ....?,0
또안없어지니까 또하더라구요;,0
 망설여지네요,0
아니 썸타던 남자애한테 정말 맘먹고 고백 했는데 뭐 자기 혼란스럽다,0
친구가 정신병같다고 병원가라는데 진심 이게 병원갈정도 인가여,0
나에대한 내신상를 캐묻지 않나...,0
애기들이 좋아하는 맛은 아니였어요ㅋㅋㅋ,0
26인치인가 28인치인가 그렇더군요..;;;,0
 원래 야간알바들 이런가요?;;,0
그래서 여기서말한거와달리 엄청 쳐다보기도 했다.,0
근데 남자친구가 집이 잘사는것도 아니고...,0
아 제가 너무 변태같네여 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0
아무것두아니고..,0
이렇게 우유부단해서 연애는어떻게할지 모르겠어요 ㅠㅠ,0
남자친구가 어디든지..?놀러가고싶다구 그래서요;;,0
감정에 휘둘리다니!1,0
 이렇게 얘기하는데남자친구는 너네엄마가 뭐뭐하겠다이렇게 얘길 하더라구요,0
근데 생각해보니정말로면접만 보러 다니는 것만해도...,0
 그래서 잘 치는 건지...,0
신인개그맨 이상이 되어야 가능한가보네요.   -_-;;;,0
삼성한테 3연패로 드림리그 3위인 삼성과 승률차이가 너무많이 나네요...,0
  방 없으니까 왠지 이질감이 ;;,0
다른사람 생겼는지 등을 다른사람에게 물어본걸 전남친이 알게되면 기분이 나쁜가요 그게?,0
글타고 통증은 없는데34살인데 뿌그덕;;;;,0
20대 초반까진 안그랫는데1,0
제생각엔 둘다 그래픽쪽이나 성능은 비슷하다고 보는데 친구는 너무 엑박쪽을 몰아세우네요..,0
술먹고 깨서 또자고;,0
 어찌할바를 모르겠어요,0
마이피좀 관리하려고 하는데..글쓰는데에 삭제밖에 없어요..,0
그러명서 사귀자는데 어캐해야되?,0
월레이런가여?;;,0
 상황마다 다른가요?,0
 고수님들 도와주세요,0
인수인계도 못받고 일한지 사개월 되었네요.,0
치약을 바꿨다거나 하지도 않았어요.,0
하나? 글이 왜 저럼,0
1시 반에 입대인데난여기서 뭐하는건지 모르겟네;;,0
 저말에 의미 두면 안되겠죠...?,0
 이걸 써먹어서 비대님에게 메롱이라고 하다니..-ㅁ-+++ 쩝..제 닉넴을 또 누가..-ㅁ-;;,0
다른 뮤지션과 함동공연이라서 형대가 피날레일 줄은 몰랐어요. ^^(댓글로),0
 (가발쓰는 아나운서가 몸을 틀으라는데 가발을 옆으로 돌렸다는...-.-;) ㅋㅋ,0
역시월요일은 지하철에사람이많아요.....,0
 으아아아 시간이 얼마안남았어요!,0
클스마스공연에 와요??;,0
힘든 순간들이 매 있겠지만..,0
개인적으로 유느님 받아서 좋지만. 올해는 정준하를 주는게... 조금은 더 의미 있는 상이 아니였나 싶다.,0
순간 손에들고있는 마가X트 보고움찔하고들어왔다,0
모야 인터뷰 읽었는데 대체 저기에서 뭐가 논란거리야???????,0
기억 못하는게 아니라 기억하기 곤란한 거 아닐까?,0
블랙리스트 작성도 죄가 되나?,0
요즘은 감기걸리면 팔꿈치 수술하나봐?,0
무기인가요????!,0
건방이 하늘을 찌르더리ㅣ,0
우리 고유의 누룽지가 그럼 개쓜애기였단 말이더냐..ㅜㅜ,0
NC도 롯데랑 같은 경남지역인데 왜 롯데랑 동선차이가 이렇게 많이남?,0
강훈련를 소화 못할 몸을 만들었다던 코끼리 할배가 우승만 10번을 했다,0
애플 광고하는것도아니고 사과마크좀 가리시지...,0
당했네 함정취재,0
거의 매주 제작진 방송에 나오고 멤버들이랑 투닥거려서 진짜 우애 쩔고 친한줄 알았네,0
뉴스 내용이 중간어 잘린거같은 기분 나만 그런가? 한국이 8위인데 그다음 내용이 나와야하지 않나?,0
왜 국립경찰뱡원에 장례식장이 마련되었나????,0
정유라가 못생겼냐 박나래가 못생겼냐?,0
뭐가 말도 안된다는 거야? ㅋㅋㅋㅋㅋ,0
미국판 두테르테인 트럼프가 당선 되는건가,0
사람사는데 맞나..,0
이런 붉은 기사는 처음본다,0
나르샤 맞아?...,0
저거 프레디처럽 막 죽이는거 아닌가 싶다 ㅋㅋㅋㅋ,0
유연석과 잘 되다가 알고보니 서현진이 원수같은 원장의 딸?,0
와 원빈이랑 영화 찍던게 엊그제 같은데 언제 결혼했대냐;;;,0
난또 서울대병원 기사인줄알았네!!!,0
교체티노 일부로그러는거냐 정답나왓는데 자꾸 오답찍어대,0
조선족이 박근혜 하야하라 시위하는 격이네,0
호감순 정리가 안되네;,0
너그들이 프로 맞냐?,0
"왜 우리동네 마트는 12,000원인가?",0
갑자기 좃문가들이 왜케 많아졌지? ㅋㅋㅋㅋㅋ,0
수비력 패스력 부터 안좋았는데 ;;,0
타고투저 시대에 선발 방어율이 4.53이면 괜찮타고 본다 6이닝3실점하면 방어율이 4.50 나오는데 이정도면 계산서는정도잖아?,0
박사모는 경찰추정인원이 안나와 신기하게 ㅋ 1000명정도 나왔을꺼같은데 ㅋ,0
로즌솔은 또 누군데? 마데카솔은 아는데,0
삼억도 모자른 판에 삼백?????,0
진짜 일본갈껀아니었잖아,0
류뚱이 왜 들어감??ㅋㅋㅋ 국뽕 ㄴㄴ ㅋㅋㅋㅋㅋ,0
전라도 이야기아닌가?,0
진짜 배우들 맞나...? 헉...,0
지X과 개소리의 차이냐 머냐?,0
돈 많은 부촌인데 그사람들 돈 모아 만들라고 하는게..,0
송파힘찬병원에 갔더니 판독비로 또 3만원 요구해서 황당했음,0
절 2번 한거야?,0
흠.......성폭행 당한거 같은데..,0
일왕은 신라사람 아님??,0
B1A4도 완전난감할듯...,0
쌀값 보장하라는데 퇴진하라는 이유는?,0
손흥민 저 자세 뭔가 설현 입간판같네;;,0
